,Position,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Agility,Balance,Marking,Positioning,Sprint_Speed,Vision,Finishing,Player_Height
1454,1,69,81,65,70,41,74,59,58,39,79,70,70,81,184
1455,3,73,65,75,74,78,79,61,62,73,64,77,69,63,187
1456,2,82,70,72,87,46,52,90,86,37,74,79,74,72,173
1457,1,69,78,71,78,37,86,68,80,21,75,69,68,80,181
1459,2,81,86,76,77,39,71,69,72,33,80,79,76,82,182
1461,2,75,73,79,81,56,72,87,77,49,67,75,77,69,177
1474,2,76,77,77,80,69,81,77,68,61,77,77,77,74,186
1475,2,87,74,73,84,24,55,87,72,16,74,84,69,76,178
1483,2,86,70,74,85,36,49,91,89,44,76,86,78,71,170
1486,1,34,79,55,61,26,66,34,34,17,88,34,68,87,193
1487,5,68,36,56,54,79,78,50,34,80,48,69,57,30,192
1488,4,71,48,68,72,77,71,77,76,76,58,69,49,30,176
1489,2,78,78,75,79,36,71,74,70,31,75,80,74,75,180
1490,3,73,69,72,72,73,87,68,66,67,67,73,69,60,184
1491,3,68,69,77,75,71,80,64,68,68,71,68,77,60,185
1492,3,73,65,74,73,76,78,61,62,72,64,77,69,63,187
1493,4,77,65,71,75,75,75,73,68,77,60,77,68,58,182
1494,4,82,57,68,72,74,76,69,81,74,70,81,54,39,173
1495,1,70,77,61,74,24,76,69,55,15,81,75,60,79,190
1496,5,46,27,40,48,79,79,34,34,80,20,55,25,14,191
1497,2,75,84,75,77,39,69,69,72,33,79,74,75,81,182
1498,1,71,79,74,78,36,72,77,70,27,77,70,75,80,175
1499,3,75,71,74,76,71,80,67,70,66,79,75,78,66,183
1500,3,82,75,82,83,71,74,82,76,68,73,81,84,71,175
1501,2,77,74,77,80,41,56,77,79,36,73,77,74,71,180
1502,1,68,80,64,70,40,71,59,58,39,79,69,69,80,184
1503,2,78,72,75,82,50,74,84,90,45,76,77,77,71,168
1504,1,55,77,60,67,33,83,64,34,19,82,55,69,79,194
1505,3,59,54,68,67,78,88,53,47,81,44,62,55,45,188
1506,4,75,55,76,75,77,76,73,65,78,69,77,73,40,184
1507,1,74,76,69,75,27,76,68,58,16,79,78,69,77,189
1508,1,80,77,74,76,35,79,76,63,37,72,75,76,77,180
1509,4,82,59,70,75,75,74,67,76,77,60,84,69,52,173
1510,3,68,58,69,68,77,80,64,71,74,47,68,68,49,178
1511,2,83,77,69,77,32,69,79,65,16,80,84,69,79,185
1512,4,82,57,66,71,76,80,72,58,73,66,84,49,40,186
1513,4,81,53,72,74,76,81,76,71,79,67,83,70,43,184
1514,2,78,74,77,77,68,72,76,69,65,74,78,75,71,181
1515,4,79,60,70,75,76,77,76,63,74,71,79,65,63,184
1516,3,77,72,81,84,52,63,80,82,45,75,76,81,67,178
1517,4,89,65,70,81,72,74,90,86,72,73,89,59,56,172
1518,2,79,75,73,74,41,78,69,64,39,82,79,76,75,186
1519,2,90,77,74,80,33,64,86,79,23,77,90,75,73,174
1520,1,85,74,77,82,33,72,80,78,24,75,86,74,71,180
1521,4,84,70,68,74,76,81,76,75,78,71,86,54,61,184
1522,3,67,58,70,70,73,87,62,53,65,57,67,68,47,182
1523,1,69,77,69,76,37,86,67,78,21,75,69,67,79,181
1524,4,83,62,74,76,73,73,76,75,74,74,84,69,54,177
1525,1,67,72,59,72,29,80,59,66,14,85,76,44,70,187
1526,5,73,55,70,71,78,76,76,53,77,57,69,73,52,191
1527,2,89,71,71,81,29,64,84,77,24,73,88,73,70,169
1528,1,77,72,56,73,22,80,82,71,12,86,76,59,83,182
1529,3,74,71,78,79,55,73,70,54,39,75,75,79,63,185
1530,2,87,78,71,79,33,58,81,75,26,83,90,73,79,176
1531,4,75,63,70,74,77,81,72,66,78,73,75,72,55,185
1532,1,58,78,60,68,25,82,41,50,21,83,63,56,80,194
1533,1,77,75,71,82,39,72,81,78,29,76,79,75,73,183
1534,4,78,51,69,68,78,78,62,65,78,54,81,52,37,180
1535,4,75,42,72,75,77,80,70,66,77,76,75,67,32,182
1536,3,66,66,67,72,78,89,72,66,74,64,69,64,62,188
1537,3,70,67,75,76,75,80,67,63,75,70,71,75,61,188
1538,5,53,42,53,57,79,79,49,36,77,43,55,48,35,194
1539,3,80,62,68,73,76,81,72,75,77,66,79,67,50,180
1540,3,75,74,76,78,67,75,79,74,59,75,75,76,71,179
1541,2,93,64,69,79,24,58,82,77,19,73,93,73,68,175
1542,1,73,77,50,73,38,80,63,56,29,80,77,58,80,190
1543,4,81,47,63,64,78,84,50,50,77,51,85,54,27,189
1544,1,76,77,66,74,30,74,78,66,13,81,77,61,77,183
1545,1,71,79,66,72,39,77,64,57,25,78,76,65,80,185
1546,5,73,32,56,61,79,78,64,57,79,25,77,43,32,191
1547,5,52,47,56,49,79,78,45,34,78,33,53,52,34,194
1548,2,81,74,71,79,28,73,78,69,21,80,79,68,73,180
1549,2,86,75,74,78,23,72,83,79,18,76,88,75,77,173
1550,5,62,54,63,59,77,82,52,47,75,49,69,61,38,189
1551,1,73,79,56,68,40,76,65,55,31,83,74,61,82,188
1552,3,77,61,71,76,74,78,75,74,71,75,75,76,51,186
1553,2,87,69,66,83,30,68,84,79,27,73,87,61,74,180
1554,2,92,70,67,84,25,54,92,91,18,75,92,71,65,172
1555,5,50,42,58,48,79,76,40,34,79,45,52,50,33,193
1556,5,62,48,62,59,77,82,57,32,78,22,68,52,41,190
1557,2,86,67,72,83,38,68,89,86,37,78,84,71,64,172
1558,3,78,73,73,78,53,71,72,54,25,76,77,73,75,185
1559,2,88,77,67,77,32,61,82,74,26,80,87,64,78,182
1560,3,67,68,70,73,75,81,66,59,69,66,67,68,59,184
1561,3,64,44,65,67,80,80,60,43,75,41,63,61,34,196
1562,3,79,69,76,76,75,81,75,75,75,75,79,74,58,182
1563,5,40,46,55,45,79,81,29,29,75,43,34,50,34,199
1564,1,91,76,55,78,28,72,90,76,18,74,91,60,78,180
1565,4,85,79,76,81,71,72,87,84,69,82,84,73,76,173
1566,5,34,38,47,59,79,85,41,39,84,30,34,36,29,193
1567,5,81,41,50,60,76,83,61,57,72,43,83,40,34,183
1568,5,73,50,58,55,77,80,48,52,77,53,77,57,47,190
1569,1,74,81,62,71,37,73,69,63,29,75,75,60,83,186
1570,5,69,36,58,62,79,75,61,62,80,29,69,52,13,182
1571,2,78,72,75,78,51,65,84,58,45,74,79,75,73,187
1572,5,75,66,60,67,78,74,58,72,81,52,73,47,60,184
1573,4,82,40,69,77,77,73,79,64,79,64,84,61,32,185
1574,2,89,72,73,79,39,72,75,72,35,71,88,72,72,184
1575,5,82,56,54,69,78,79,68,63,78,56,84,43,57,182
1576,2,75,70,79,80,27,53,85,79,19,72,74,78,70,177
1577,2,85,78,72,73,52,83,66,60,46,79,90,70,79,185
1578,4,90,57,63,72,74,73,83,89,76,64,90,54,44,174
1579,3,64,35,62,65,78,84,53,54,76,47,65,60,25,189
1580,4,88,66,70,73,74,73,70,67,74,70,85,69,58,177
1581,5,70,34,52,52,80,78,60,51,85,18,72,24,23,190
1582,3,72,72,74,74,77,78,72,73,74,70,73,72,71,181
1583,2,82,76,74,78,57,68,78,65,56,77,82,73,78,179
1584,2,89,64,71,84,33,62,93,92,30,71,89,73,66,165
1585,1,79,75,58,72,30,70,73,65,22,84,79,60,80,183
1586,5,64,48,54,56,77,83,51,55,74,43,67,48,38,192
1587,2,82,68,70,86,46,52,90,86,37,74,79,74,72,173
1588,5,67,60,64,67,77,83,57,51,77,41,67,59,53,193
1589,1,85,74,58,80,24,63,77,70,21,79,86,59,78,181
1590,2,90,67,71,83,37,55,86,82,30,74,88,74,69,175
1591,5,44,58,48,36,80,76,34,31,81,60,53,58,55,192
1592,1,62,79,56,72,38,79,54,46,32,82,70,58,80,188
1597,2,85,74,77,82,33,72,80,78,24,75,86,74,71,180
1601,2,91,76,55,78,28,72,90,76,18,74,91,60,78,180
1603,5,66,27,47,44,80,77,53,50,82,25,68,38,18,191
1604,5,51,39,51,41,80,78,46,34,77,38,52,52,40,194
1605,2,78,69,74,82,30,52,79,86,27,71,79,71,70,174
1606,1,84,78,65,86,49,59,86,85,46,79,84,70,77,174
1607,4,95,52,70,76,76,70,86,79,76,62,96,59,53,177
1608,2,76,69,78,80,32,66,73,72,26,72,78,75,66,184
1609,2,81,66,77,79,49,55,84,69,51,68,78,80,62,170
1612,2,89,72,73,83,27,54,93,95,20,75,87,73,65,165
1613,5,79,42,52,57,79,80,68,67,75,36,79,35,33,187
1614,5,53,73,74,69,77,80,56,41,75,54,50,70,68,190
1615,1,80,76,62,77,35,74,75,61,22,78,83,67,76,182
1616,1,91,76,70,78,29,64,84,70,25,77,91,65,79,180
1619,1,65,80,55,68,38,82,47,55,29,78,71,57,78,189
1620,2,90,72,72,83,28,71,80,78,17,69,91,69,69,181
1621,2,87,68,76,83,27,52,96,95,22,77,84,80,68,160
1622,2,88,69,68,84,30,80,85,76,27,70,88,60,64,185
1623,2,92,71,69,81,19,53,91,81,11,65,91,62,66,178
1624,2,90,73,75,76,44,72,83,80,37,74,90,75,69,170
1639,2,78,69,74,82,30,52,79,86,27,71,79,71,70,174
1644,2,78,72,75,78,51,65,84,58,45,74,79,75,73,187
1659,2,77,72,81,84,52,63,80,82,45,75,76,81,67,178
1667,4,81,72,68,72,74,81,75,78,72,72,84,59,60,176
1668,4,83,55,71,75,75,76,74,72,74,63,83,65,48,183
1669,5,45,39,55,46,81,78,31,33,81,31,55,54,25,197
1670,1,53,76,69,69,32,70,56,29,31,82,53,75,77,201
1671,2,81,66,70,81,36,64,82,87,30,72,79,74,69,170
1673,1,77,74,74,74,35,74,74,71,41,81,78,76,70,176
1674,1,78,75,61,76,35,74,75,61,22,77,81,66,75,182
1675,5,60,53,55,60,75,85,59,53,72,39,54,44,48,185
1676,1,78,74,68,71,47,75,77,65,43,76,82,71,75,183
1677,3,81,65,73,76,70,79,85,77,72,68,81,73,62,175
1678,5,64,41,44,45,77,82,46,43,76,33,68,24,26,192
1679,5,36,46,44,41,80,72,40,43,81,41,39,34,54,192
1680,1,72,78,63,70,36,81,72,75,21,78,75,65,78,182
1681,4,79,70,71,74,71,81,74,67,65,74,79,58,67,184
1682,5,54,21,53,46,80,70,33,33,81,29,54,47,14,193
1683,4,76,60,73,73,77,79,68,68,77,74,76,75,48,180
1684,5,49,51,53,41,77,79,34,32,78,34,45,48,47,193
1685,2,82,68,72,82,42,64,90,75,34,66,80,66,66,177
1686,5,43,33,52,42,80,78,31,32,82,39,54,47,24,192
1687,3,66,78,81,77,35,65,70,66,30,76,68,80,68,180
1688,4,81,56,73,76,76,77,74,82,79,60,81,63,40,180
1689,5,74,55,60,58,76,76,61,54,77,42,78,55,48,188
1690,1,68,74,70,77,38,80,66,76,30,79,67,73,71,180
1691,5,70,36,58,60,77,75,51,37,75,44,74,46,35,191
1692,2,77,74,67,78,50,79,78,68,41,84,77,77,78,178
1693,5,77,36,59,60,76,79,53,51,77,40,79,57,32,188
1694,1,69,75,60,71,31,73,76,65,23,78,69,67,80,186
1695,3,71,63,66,65,75,85,56,77,65,63,73,63,56,189
1696,2,76,77,78,75,72,78,70,66,69,72,78,71,69,180
1697,4,84,51,66,67,75,76,69,70,76,40,83,63,40,178
1698,5,74,51,55,61,78,75,68,64,79,31,74,51,45,186
1699,2,87,66,68,85,43,51,93,94,32,73,83,64,64,173
1700,5,46,39,35,45,80,79,34,33,80,20,55,25,36,193
1701,2,90,64,68,83,32,64,85,81,22,70,88,67,59,176
1704,2,87,53,73,78,70,71,76,75,70,76,89,72,42,183
1705,5,52,36,48,40,78,79,39,33,77,37,52,46,34,194
1706,5,72,41,45,44,77,80,33,33,79,39,79,35,21,192
1707,1,76,74,54,73,26,78,69,58,15,78,78,55,75,186
1708,3,55,68,68,61,78,83,56,66,75,52,59,68,59,188
1709,5,67,31,37,38,77,83,57,45,79,19,68,34,20,189
1710,5,66,27,46,43,80,75,52,49,82,25,68,38,18,191
1711,2,91,76,71,79,29,56,91,89,15,76,91,62,71,173
1712,2,88,76,71,80,28,52,85,89,24,74,88,65,72,169
1713,3,67,56,68,69,77,82,62,43,77,60,69,69,46,192
1714,2,79,78,74,79,51,76,77,72,39,71,80,75,75,180
1715,2,93,70,69,74,32,72,85,64,24,75,93,63,71,183
1716,4,88,46,63,71,71,79,87,79,67,62,92,54,41,176
1717,2,88,68,66,83,30,79,84,76,27,69,88,59,64,185
1718,5,65,36,52,44,78,83,44,46,77,35,69,49,31,196
1720,1,88,77,73,80,33,75,90,81,32,76,88,75,79,180
1721,1,60,79,54,67,38,82,47,55,29,78,66,56,78,189
1722,5,51,39,48,41,79,76,46,34,77,38,52,49,40,194
1723,5,65,40,55,52,80,72,53,47,80,33,67,47,34,192
1724,5,37,44,61,48,80,80,41,34,81,40,41,54,39,190
1725,2,58,71,75,74,42,63,60,58,25,82,62,83,73,193
1726,1,93,76,65,82,28,53,90,88,20,79,92,66,78,168
1727,5,74,36,53,50,80,72,60,51,80,32,78,51,33,193
1728,2,88,72,72,78,38,73,85,75,38,75,87,68,65,178
1729,2,90,71,74,75,44,71,82,79,37,72,90,74,68,170
1730,2,92,67,70,80,32,52,88,92,29,74,90,70,65,172
1731,5,47,38,51,61,79,82,52,44,80,28,50,46,23,191
1732,2,93,66,70,84,28,62,92,90,21,68,93,67,63,173
1733,1,83,77,64,86,48,59,86,85,46,78,83,69,77,174
1734,4,88,63,66,75,73,83,81,78,72,69,87,62,53,170
1735,2,90,70,70,81,28,71,79,77,17,68,91,68,68,181
1736,2,87,73,69,81,40,52,91,92,27,80,87,74,73,172
1737,2,90,69,68,81,22,66,85,85,20,73,90,68,68,171
1738,2,91,74,67,81,38,66,86,95,33,74,90,66,77,167
1739,3,66,72,74,75,75,88,74,50,70,72,67,73,64,186
1740,2,90,65,70,81,22,60,85,69,14,74,92,70,61,178
1742,2,88,71,63,78,42,63,87,85,41,77,89,67,74,170
1746,3,92,67,70,80,32,52,88,92,29,74,90,70,65,172
1752,1,88,77,72,77,22,75,83,81,17,72,89,73,80,180
1753,5,69,45,61,54,77,85,57,52,77,36,73,42,21,188
1755,3,67,74,76,69,70,79,63,71,66,80,68,73,69,178
1756,2,83,72,71,83,32,54,89,80,21,74,80,65,68,179
1757,5,56,38,49,51,79,74,63,51,80,26,56,38,29,188
1758,5,74,30,59,57,78,75,69,67,78,45,75,39,22,180
1759,1,64,79,52,69,30,79,59,45,28,76,66,60,82,191
1760,5,68,27,56,56,76,77,46,34,76,27,73,65,19,194
1761,2,82,74,74,83,31,61,90,81,25,75,82,79,71,179
1762,2,88,73,68,81,33,61,90,81,19,76,88,69,74,177
1763,3,75,55,71,74,76,79,78,85,79,36,75,68,51,168
1764,5,54,41,48,50,80,73,34,41,80,20,54,42,22,192
1765,2,88,68,68,84,17,45,84,93,13,57,85,61,65,170
1766,2,92,69,68,83,34,61,88,70,21,78,93,77,66,186
1768,2,71,80,81,77,48,70,71,82,43,75,71,76,77,177
1769,3,58,71,71,70,75,91,48,49,73,78,58,76,67,192
1773,5,77,32,54,60,77,79,70,72,79,24,77,44,26,183
1774,1,67,78,63,68,46,84,43,43,54,79,62,72,80,196
1775,1,74,78,62,74,35,80,64,53,25,76,75,68,79,190
1776,2,93,74,72,75,34,81,82,46,23,67,95,70,72,186
1777,1,84,75,47,69,29,84,75,54,23,73,85,56,77,186
1778,2,75,74,76,79,37,67,83,75,38,72,77,74,70,183
1779,5,40,47,67,52,80,82,52,58,83,39,33,56,33,190
1780,3,81,69,76,77,72,71,74,71,66,76,84,72,65,189
1781,5,44,36,51,42,78,82,32,33,76,32,53,41,23,193
1782,3,65,64,74,73,70,71,68,61,73,68,64,76,58,183
1784,1,73,73,62,64,37,86,39,36,15,77,73,80,75,188
1785,1,86,74,61,75,26,81,72,68,19,76,86,61,71,182
1797,2,93,66,70,84,28,62,92,90,21,68,93,67,63,173
1813,2,87,73,69,81,40,52,91,92,27,80,87,74,73,172
1815,2,83,72,71,83,32,54,89,80,21,74,80,65,68,179
1822,5,34,33,43,48,80,67,34,34,80,16,34,25,22,191
1823,5,42,49,54,45,76,78,33,34,73,34,34,58,38,193
1824,2,52,74,80,76,53,60,72,78,45,75,51,78,63,172
1825,1,72,78,57,68,27,84,65,70,15,75,74,59,76,183
1826,1,88,76,72,76,22,73,82,80,17,72,89,73,79,180
1827,1,87,66,74,82,27,51,95,94,22,75,84,78,66,160
1828,2,75,76,74,76,62,73,78,53,61,75,72,75,71,182
1829,1,62,73,60,70,38,78,62,59,27,77,65,66,76,193
1830,4,73,60,63,69,76,85,66,67,75,69,73,60,50,184
1831,3,70,71,70,72,73,83,74,65,67,67,72,65,59,179
1832,5,67,39,54,59,76,79,56,49,75,50,67,45,32,193
1833,2,89,69,71,81,21,48,91,93,16,72,87,71,63,165
1834,2,88,69,74,74,44,67,85,73,42,71,89,75,69,177
1835,5,40,47,65,50,78,82,50,56,81,39,33,55,33,190
1836,5,34,36,38,35,80,72,29,32,81,29,34,24,20,190
1837,2,69,77,77,76,36,66,75,76,30,77,67,76,69,179
1838,3,55,55,69,69,72,84,67,68,63,55,51,73,42,180
1839,4,76,53,65,62,75,84,72,75,76,50,78,57,49,175
1841,3,75,71,72,77,72,78,74,56,69,75,77,77,65,192
1843,1,62,73,62,69,36,73,60,48,27,75,68,64,75,194
1844,2,91,74,68,78,28,61,91,81,21,78,90,68,70,176
1846,1,66,75,60,73,26,69,69,53,17,78,67,59,77,192
1847,1,73,73,65,66,44,82,57,45,33,77,73,72,73,192
1848,5,78,44,41,40,77,74,44,34,76,40,79,33,37,194
1849,5,67,49,50,56,75,81,51,43,76,26,68,38,28,192
1850,3,54,75,73,72,71,80,69,74,70,72,53,71,65,176
1851,2,85,76,74,76,41,75,74,68,37,72,85,73,71,184
1852,5,69,47,54,63,75,79,57,47,75,34,72,37,44,191
1853,2,91,75,69,77,29,62,83,70,25,76,91,65,78,180
1854,3,76,62,59,67,77,87,65,57,70,68,82,61,61,193
1855,1,94,74,72,83,22,56,93,95,18,83,93,74,77,169
1856,4,88,40,69,68,71,74,63,56,71,65,88,61,23,188
1857,3,57,61,77,69,70,80,50,50,58,59,60,79,48,193
1858,4,89,63,64,76,70,75,86,79,72,64,89,54,61,175
1859,2,91,67,63,77,41,74,76,75,38,81,91,60,72,176
1860,1,67,77,61,62,46,84,40,40,54,78,62,70,79,196
1861,5,74,32,49,48,75,85,34,48,74,44,74,34,28,187
1862,3,71,57,67,66,75,81,52,45,73,55,75,65,50,194
1863,1,49,73,62,67,31,74,56,48,18,80,52,63,75,191
1864,5,49,72,72,67,76,80,55,40,75,54,47,69,68,190
1865,5,42,43,50,42,78,75,34,33,77,45,34,52,50,195
1866,1,57,78,68,74,29,79,85,65,19,77,60,73,79,186
1867,5,74,56,58,57,74,84,52,42,75,47,78,57,45,192
1868,5,64,45,61,54,74,83,57,52,74,36,68,42,21,188
1869,1,73,75,52,67,34,75,38,31,18,76,73,73,76,203
1870,2,87,74,66,76,32,72,77,66,34,73,84,67,70,179
1871,5,54,41,45,49,78,70,34,41,78,20,54,40,22,192
1872,4,91,58,63,76,72,78,78,72,65,68,92,50,51,180
1874,5,59,34,47,46,78,77,53,42,79,23,63,38,24,192
1875,2,93,70,62,81,44,63,91,85,42,77,93,67,72,173
1877,4,70,38,62,68,78,75,55,59,80,47,72,50,33,191
1878,2,90,68,70,83,37,62,94,92,29,68,90,68,64,171
1879,1,76,77,62,70,37,69,68,62,30,74,77,70,77,191
1880,5,66,48,57,64,75,79,60,61,76,22,66,49,23,187
1881,4,80,47,59,63,76,85,54,55,77,58,84,56,31,183
1882,1,93,74,62,73,28,64,87,91,14,75,92,66,78,170
1883,5,76,26,45,45,75,85,69,53,74,45,77,36,20,184
1884,2,92,67,62,79,21,39,91,92,17,76,92,65,66,172
1885,1,64,78,51,69,30,77,59,45,28,76,66,59,81,191
1886,4,93,59,65,75,70,73,87,77,69,67,93,62,48,171
1887,2,85,67,69,81,29,60,78,57,22,62,84,73,66,187
1888,5,65,36,55,57,76,77,45,44,78,29,67,38,30,192
1889,1,73,78,68,64,25,82,34,30,18,75,73,67,80,192
1890,5,33,47,54,49,76,83,32,33,74,29,32,44,39,191
1891,4,87,63,65,74,71,73,83,85,70,70,86,53,58,169
1893,4,88,58,67,71,72,76,76,82,74,65,86,61,52,170
1894,5,63,42,45,54,77,79,55,34,79,28,69,32,29,194
1895,1,71,77,68,84,44,63,86,57,42,69,67,71,77,183
1896,2,89,72,70,80,32,62,78,71,36,70,89,71,66,181
1898,1,88,78,69,79,38,70,78,79,29,77,86,75,77,168
1899,1,87,75,57,83,24,50,86,85,18,79,87,59,77,167
1901,2,87,66,74,82,27,51,95,94,22,75,84,78,66,160
1903,1,91,74,68,78,28,61,91,81,21,78,90,68,70,176
1906,1,79,72,64,77,29,69,78,61,22,77,77,62,77,182
1907,1,77,76,62,76,26,79,76,60,20,74,77,60,79,182
1908,1,73,77,69,73,30,74,75,69,26,82,69,66,80,178
1910,3,69,63,84,75,62,69,74,79,55,63,68,82,54,173
1911,2,81,69,73,77,31,70,77,72,24,71,83,65,64,182
1912,2,87,74,70,77,37,54,88,89,28,72,83,65,71,172
1913,4,84,57,73,79,72,66,76,75,69,63,84,61,47,180
1914,2,71,74,76,78,42,61,84,90,38,71,69,74,71,173
1915,3,65,66,74,74,67,77,73,70,60,60,64,76,59,183
1916,1,61,79,60,59,33,82,34,32,12,73,64,60,76,191
1917,1,92,76,61,73,44,78,74,67,39,76,93,66,79,178
1918,2,79,66,75,84,26,50,86,84,19,70,79,78,63,176
1919,2,60,72,75,75,57,74,50,64,45,70,63,78,66,180
1920,2,61,72,79,75,27,74,77,68,15,67,55,82,67,182
1921,5,48,42,53,38,78,83,30,41,81,33,50,45,32,191
1923,3,65,68,73,70,69,78,64,62,59,74,64,73,58,180
1924,4,68,40,68,67,78,77,67,58,78,61,66,58,32,182
1925,2,82,73,71,79,32,56,77,76,29,76,80,70,70,178
1926,5,52,54,60,57,77,78,47,66,78,37,53,46,39,186
1927,3,72,54,64,63,74,84,58,48,74,40,80,63,47,187
1929,1,89,75,65,85,23,63,85,77,18,77,89,67,73,178
1930,4,74,53,65,67,75,82,56,53,69,63,76,55,48,191
1931,1,78,75,68,73,37,69,77,64,24,80,78,66,74,185
1932,1,79,76,69,77,28,72,84,84,20,77,80,69,78,172
1933,2,69,66,75,82,39,56,75,75,36,74,69,78,62,170
1934,2,74,72,64,78,35,59,73,73,21,72,74,62,76,180
1935,2,80,63,75,81,30,55,82,77,31,66,77,76,64,175
1936,3,68,66,74,73,69,75,68,56,62,72,68,75,60,187
1937,2,86,72,71,78,33,62,84,89,33,75,87,71,68,176
1938,5,71,46,58,54,76,78,65,60,73,41,74,48,39,184
1940,1,86,74,66,83,26,68,85,71,18,71,88,64,69,184
1946,1,48,79,58,65,37,81,49,33,30,84,54,58,77,188
1947,2,61,74,75,74,52,68,74,63,49,75,61,79,74,187
1948,3,68,76,70,74,66,78,74,57,66,68,68,75,76,187
1949,5,70,51,64,71,79,71,72,58,79,52,73,50,42,189
1950,2,75,69,76,78,40,67,81,72,36,71,76,76,64,179
1951,2,92,68,67,79,35,61,92,91,32,74,92,57,66,166
1952,2,86,72,72,80,27,47,91,72,28,64,85,70,73,178
1953,3,63,62,70,69,76,78,54,56,72,63,62,74,55,183
1954,5,61,25,43,52,78,77,57,46,81,16,66,23,14,189
1955,2,90,73,67,79,34,62,82,75,28,67,91,63,71,183
1956,1,79,75,61,73,39,73,75,66,26,76,77,61,76,181
1957,5,57,32,44,49,77,79,36,34,78,21,51,32,32,192
1958,1,75,77,73,78,28,73,79,86,19,82,76,76,77,175
1959,3,54,71,85,78,46,61,63,66,47,77,55,82,60,178
1960,2,87,74,72,74,32,60,80,70,15,74,87,72,74,180
1961,1,75,76,56,68,31,78,68,33,25,72,68,60,74,189
1962,4,76,54,74,73,74,72,72,69,78,52,76,56,43,181
1963,1,77,75,59,71,31,71,75,63,24,81,77,57,81,184
1964,2,63,66,77,77,29,60,84,73,11,75,63,80,58,175
1965,1,72,78,59,76,33,68,73,67,13,85,75,62,79,182
1966,1,76,76,55,67,25,75,72,51,17,73,77,70,81,190
1967,1,68,76,63,74,44,64,72,70,42,78,67,56,79,177
1968,3,72,65,76,77,63,69,63,68,66,77,73,77,65,180
1969,2,83,65,72,80,41,65,74,65,34,68,83,72,62,183
1970,3,68,66,77,73,73,73,68,66,70,63,68,71,60,180
1971,1,65,78,71,73,42,68,74,73,33,79,66,73,75,180
1972,2,87,63,71,78,32,53,85,81,26,72,87,71,67,172
1973,5,64,41,55,68,76,78,56,51,83,42,64,50,43,189
1974,2,86,71,69,80,29,61,88,93,21,77,81,70,66,174
1978,5,70,38,62,68,78,75,55,59,80,47,72,50,33,191
2001,2,91,67,63,77,41,74,76,75,38,81,91,60,72,176
2002,2,90,73,67,79,34,62,82,75,28,67,91,63,71,183
2012,2,68,76,70,74,66,78,74,57,66,68,68,75,76,187
2015,2,86,71,69,80,29,61,88,93,21,77,81,70,66,174
2016,2,92,92,81,91,33,80,90,63,22,94,92,85,93,185
2017,2,89,90,86,96,26,61,90,95,13,93,87,90,95,170
2019,1,82,90,79,87,42,79,86,60,30,92,77,84,94,182
2020,2,91,84,78,95,30,56,96,82,21,90,90,80,89,174
2022,1,72,90,81,85,31,86,86,41,15,86,74,83,90,195
2023,2,94,87,84,86,57,76,77,65,51,86,95,79,87,183
2024,5,79,50,72,68,90,85,58,54,91,47,83,76,34,192
2025,1,81,87,74,85,38,82,78,79,25,89,82,78,91,185
2027,1,89,88,75,89,23,70,86,90,13,91,86,83,90,172
2028,5,78,63,70,70,87,83,80,60,85,52,78,63,60,183
2030,2,72,74,86,86,24,58,84,70,22,84,68,93,75,183
2031,3,74,75,86,89,72,66,93,94,66,79,71,90,71,174
2033,2,90,82,83,92,32,65,93,90,25,85,87,87,80,173
2034,1,80,87,69,83,24,75,74,60,12,92,82,71,91,184
2035,5,78,50,72,67,89,84,57,53,89,47,81,76,34,192
2036,3,73,72,87,90,59,60,82,86,57,85,73,94,73,171
2039,5,70,50,56,59,88,81,63,49,88,40,75,48,46,188
2040,4,68,56,82,84,86,64,82,93,86,69,68,82,47,170
2041,5,74,46,53,58,90,85,61,69,92,28,78,50,33,187
2042,1,80,87,68,82,24,74,74,60,12,92,82,70,91,184
2044,5,65,48,65,63,88,79,63,58,87,48,67,52,42,185
2045,3,45,80,88,79,69,70,70,62,63,76,37,88,75,182
2046,2,90,81,82,91,32,64,92,90,25,84,87,86,80,173
2047,2,90,85,84,86,40,63,87,82,30,86,91,84,83,180
2048,2,77,83,86,84,40,75,78,75,30,83,78,88,82,181
2049,1,86,85,78,87,30,67,90,80,23,91,86,76,88,176
2050,3,77,80,83,87,72,87,79,61,68,84,79,86,71,191
2051,1,86,84,79,88,40,78,90,87,30,87,84,82,85,169
2053,2,86,85,81,90,32,62,89,91,29,85,86,83,84,180
2055,1,81,84,77,82,22,74,77,60,13,87,82,85,88,187
2056,2,68,72,87,87,32,58,92,88,23,81,65,92,70,170
2057,3,66,84,86,82,59,66,71,66,52,80,65,87,83,184
2058,5,64,58,74,71,88,77,64,58,85,56,65,79,55,191
2059,3,77,81,80,79,84,84,75,77,76,80,76,80,77,180
2060,2,87,79,84,87,47,70,90,79,37,83,88,85,75,180
2061,5,70,53,68,69,87,81,60,54,84,38,74,74,37,190
2062,2,86,82,79,88,39,74,90,87,30,85,84,82,83,169
2063,3,42,59,79,74,83,81,58,55,83,77,33,85,60,189
2064,1,78,83,77,78,46,72,77,72,31,96,79,81,89,186
2065,4,86,73,81,83,83,73,83,77,82,77,86,78,63,180
2066,2,76,85,85,85,40,68,82,73,25,83,75,88,82,180
2068,5,65,61,70,65,86,77,58,44,86,58,71,62,64,193
