,Rat,Position,Skils,Weak_Foot,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Age,Weight,Aggression,Balance,Ball_Control,Jumping,Long_Passing,Stamina,Player_Height
2032,79,RB,3,3,83,63,72,79,75,72,36,73,74.0,82.0,77.0,78.0,68.0,85.0,175
2033,79,LB,3,2,78,57,78,79,76,71,36,82,69.0,72.0,81.0,68.0,78.0,78.0,181
2034,79,LM,4,3,81,72,76,81,52,58,36,65,47.0,77.0,80.0,57.0,68.0,69.0,175
2035,79,ST,3,3,81,74,71,83,38,68,39,70,79.0,83.0,85.0,80.0,60.0,69.0,175
2036,79,CAM,4,4,69,81,73,78,42,74,38,84,70.0,69.0,79.0,84.0,69.0,79.0,185
2037,79,ST,2,4,72,84,71,77,24,68,38,79,44.0,75.0,81.0,69.0,71.0,69.0,180
2038,79,ST,4,4,86,77,70,85,26,58,34,78,48.0,75.0,87.0,69.0,55.0,69.0,181
2039,79,CDM,2,3,65,63,67,68,78,86,34,82,89.0,55.0,74.0,90.0,74.0,77.0,186
2040,79,ST,2,3,55,75,59,66,28,78,36,90,71.0,33.0,77.0,53.0,49.0,63.0,195
2041,79,ST,3,3,82,81,73,84,23,50,34,72,24.0,86.0,86.0,65.0,66.0,59.0,173
2042,79,LB,2,3,75,64,65,68,84,77,35,79,75.0,67.0,69.0,65.0,67.0,74.0,183
2043,79,CB,2,3,55,39,49,52,84,71,37,75,78.0,60.0,60.0,76.0,64.0,55.0,185
2044,79,ST,4,4,86,79,73,85,29,53,32,74,53.0,90.0,85.0,65.0,71.0,68.0,175
2045,79,CM,3,3,62,66,76,74,72,76,34,80,76.0,54.0,80.0,58.0,81.0,78.0,188
2046,79,LM,3,4,85,80,71,79,39,76,35,81,69.0,72.0,79.0,82.0,64.0,77.0,180
2047,79,CM,3,4,77,72,81,80,69,74,34,69,79.0,91.0,80.0,66.0,78.0,93.0,172
2048,79,CAM,4,4,74,73,77,78,66,77,34,86,76.0,58.0,83.0,85.0,76.0,58.0,186
2049,79,CAM,5,4,74,71,79,84,52,60,35,72,50.0,80.0,86.0,66.0,76.0,70.0,178
2051,79,CDM,2,2,60,67,67,67,80,85,35,85,89.0,55.0,74.0,49.0,72.0,93.0,187
2052,79,LM,3,4,87,67,76,78,70,72,34,74,74.0,75.0,77.0,69.0,72.0,80.0,183
2053,79,CDM,2,3,64,70,83,75,73,72,35,78,71.0,75.0,82.0,74.0,85.0,67.0,180
2054,79,LW,4,3,88,74,71,82,44,61,34,69,55.0,69.0,81.0,68.0,64.0,72.0,175
2055,79,ST,4,2,86,76,78,84,38,72,34,77,67.0,75.0,83.0,56.0,67.0,73.0,178
2056,79,CDM,2,2,67,61,68,67,79,82,34,76,87.0,57.0,72.0,72.0,73.0,84.0,185
2057,79,CB,2,3,65,43,52,50,78,84,29,89,92.0,61.0,56.0,91.0,52.0,63.0,184
2058,79,RB,3,3,84,64,74,75,73,74,35,69,76.0,73.0,82.0,70.0,73.0,85.0,177
2059,79,LB,2,3,67,69,78,74,79,79,36,83,84.0,58.0,74.0,78.0,77.0,77.0,187
2061,79,ST,4,4,77,80,68,78,26,74,31,88,69.0,50.0,85.0,75.0,52.0,55.0,189
2062,79,LM,4,4,90,71,73,82,31,67,32,64,40.0,85.0,80.0,69.0,70.0,79.0,169
2063,79,ST,3,4,85,79,70,76,32,73,31,80,67.0,66.0,78.0,67.0,62.0,74.0,187
2064,79,ST,3,3,71,75,67,70,30,85,33,91,75.0,37.0,78.0,60.0,55.0,83.0,196
2065,79,ST,4,3,91,78,67,78,39,72,33,77,65.0,70.0,77.0,83.0,65.0,84.0,179
2066,79,CDM,2,3,69,54,65,67,78,85,31,80,85.0,57.0,74.0,34.0,70.0,81.0,190
2067,79,CAM,4,3,82,70,76,85,26,53,28,66,35.0,88.0,85.0,76.0,75.0,79.0,170
2068,79,CB,2,4,72,51,62,65,82,76,30,79,69.0,64.0,68.0,80.0,62.0,73.0,186
2069,79,RM,4,4,87,73,73,84,44,65,31,68,67.0,84.0,83.0,87.0,70.0,65.0,173
2070,79,RM,4,4,86,71,76,85,36,76,29,70,83.0,82.0,85.0,58.0,78.0,69.0,176
2071,79,CB,2,3,48,51,73,53,80,70,32,84,77.0,45.0,69.0,55.0,77.0,46.0,190
2072,79,LB,3,3,83,59,71,74,76,74,33,62,81.0,80.0,78.0,83.0,65.0,81.0,171
2073,79,RB,2,4,86,50,72,75,75,75,30,72,69.0,80.0,78.0,78.0,75.0,88.0,174
2074,79,CB,2,3,59,35,48,53,80,83,31,92,79.0,32.0,55.0,42.0,73.0,73.0,196
2075,79,RM,4,3,89,69,68,84,30,68,29,66,64.0,79.0,85.0,50.0,63.0,78.0,180
2076,79,RM,4,4,89,71,73,84,42,70,28,70,66.0,88.0,82.0,65.0,73.0,75.0,175
2077,79,CB,2,3,43,33,48,46,79,84,31,86,81.0,32.0,69.0,65.0,68.0,76.0,185
2078,79,CB,2,3,76,31,44,59,82,77,31,78,85.0,79.0,58.0,81.0,54.0,68.0,183
2079,79,CB,2,2,70,54,65,64,80,76,31,72,74.0,71.0,65.0,75.0,69.0,74.0,187
2080,79,LW,4,4,92,74,72,86,30,55,28,70,31.0,88.0,86.0,49.0,69.0,77.0,175
2081,79,CDM,2,4,54,67,83,73,76,78,28,81,76.0,76.0,78.0,81.0,87.0,81.0,181
2082,79,CB,2,3,46,47,57,50,79,81,29,98,81.0,29.0,56.0,34.0,61.0,63.0,199
2083,79,CB,2,3,67,61,65,67,79,83,30,92,74.0,51.0,70.0,80.0,76.0,72.0,193
2084,79,LM,4,2,92,75,78,80,61,52,32,61,65.0,94.0,77.0,83.0,77.0,73.0,166
2085,79,RB,3,3,95,51,68,77,74,68,26,74,72.0,77.0,76.0,65.0,59.0,79.0,177
2086,79,CB,2,3,74,36,55,62,81,75,28,78,76.0,51.0,59.0,74.0,69.0,64.0,193
2087,79,LB,3,3,79,60,76,82,76,66,28,67,71.0,86.0,83.0,73.0,72.0,77.0,170
2088,79,CM,3,3,77,72,80,79,64,70,29,70,66.0,75.0,83.0,69.0,79.0,82.0,182
2089,79,RM,3,4,90,73,76,76,49,72,37,66,77.0,79.0,76.0,75.0,75.0,89.0,170
2090,79,CAM,4,4,87,70,75,84,40,44,29,57,41.0,96.0,84.0,61.0,68.0,68.0,164
2091,79,RM,3,4,89,78,70,81,37,58,31,63,47.0,88.0,79.0,70.0,62.0,75.0,172
2092,79,LB,4,4,81,62,78,79,75,77,27,75,76.0,86.0,81.0,90.0,68.0,80.0,170
2093,79,CM,4,4,80,67,82,85,49,64,27,77,71.0,70.0,87.0,59.0,76.0,71.0,178
2094,79,ST,4,3,76,78,72,85,36,63,28,70,66.0,87.0,85.0,74.0,59.0,69.0,173
2095,79,CDM,3,3,61,68,72,73,78,83,32,80,86.0,59.0,77.0,75.0,74.0,79.0,189
2096,79,RM,4,3,92,73,70,82,35,67,29,75,61.0,85.0,77.0,58.0,67.0,65.0,175
2097,79,CM,4,4,72,66,76,84,57,49,27,63,58.0,81.0,83.0,62.0,73.0,68.0,175
2098,79,CM,3,4,82,70,74,82,71,63,28,64,73.0,87.0,84.0,84.0,75.0,88.0,169
2099,79,CM,3,4,81,69,77,78,75,74,26,79,81.0,72.0,79.0,67.0,77.0,83.0,189
2100,79,CAM,4,2,76,71,80,84,28,45,28,64,43.0,90.0,83.0,56.0,80.0,55.0,169
2101,79,RB,3,3,89,63,74,80,75,68,27,72,69.0,74.0,80.0,73.0,73.0,77.0,182
2102,79,RB,2,4,82,50,66,72,77,75,27,70,79.0,69.0,72.0,69.0,68.0,85.0,182
2103,79,CB,2,3,63,39,51,62,83,72,27,82,66.0,55.0,65.0,75.0,59.0,69.0,190
2104,79,ST,2,4,85,78,72,72,52,83,31,80,79.0,60.0,74.0,82.0,68.0,90.0,185
2105,79,CB,2,4,72,27,57,57,78,78,25,98,68.0,34.0,63.0,71.0,66.0,60.0,194
2106,79,ST,4,4,83,79,65,86,49,58,26,70,41.0,83.0,85.0,54.0,56.0,69.0,174
2107,79,CAM,4,3,80,65,78,81,47,50,25,65,40.0,91.0,80.0,58.0,74.0,62.0,170
2108,79,RM,3,3,91,75,70,83,34,64,25,75,58.0,82.0,80.0,66.0,64.0,76.0,183
2109,79,CM,2,2,68,65,74,79,79,81,25,74,85.0,72.0,80.0,84.0,76.0,80.0,183
2110,79,CM,3,4,78,66,78,79,75,71,26,58,85.0,77.0,82.0,62.0,76.0,80.0,168
2118,79,CDM,2,3,66,67,68,72,80,89,30,76,90.0,66.0,72.0,81.0,69.0,84.0,188
2119,79,ST,4,3,86,76,68,76,31,77,26,75,54.0,62.0,76.0,73.0,59.0,75.0,185
2120,79,LWB,3,3,80,66,73,76,74,81,30,81,71.0,58.0,78.0,69.0,70.0,92.0,188
2121,79,LM,4,5,86,82,71,81,25,62,29,79,53.0,77.0,78.0,66.0,53.0,77.0,184
2122,79,CB,2,3,77,40,63,62,78,78,28,85,86.0,50.0,66.0,72.0,66.0,65.0,190
2123,79,ST,3,3,82,79,75,76,41,74,28,79,65.0,71.0,76.0,69.0,69.0,77.0,181
2124,79,CDM,2,3,73,60,69,72,75,83,33,73,87.0,80.0,79.0,74.0,73.0,77.0,180
2125,79,RB,3,4,80,70,71,75,76,79,30,78,74.0,66.0,79.0,75.0,68.0,83.0,184
2127,79,RM,3,3,93,72,71,81,31,55,33,65,42.0,82.0,77.0,77.0,67.0,79.0,173
2128,79,ST,3,3,74,79,72,70,45,76,36,85,63.0,57.0,75.0,75.0,65.0,69.0,189
2142,79,CDM,2,2,67,61,68,67,79,82,34,76,87.0,57.0,72.0,72.0,73.0,84.0,185
2143,79,CB,2,3,48,51,73,53,80,70,32,84,77.0,45.0,69.0,55.0,77.0,46.0,190
2146,78,CM,3,4,43,79,80,73,58,68,43,89,72.0,55.0,80.0,67.0,82.0,55.0,184
2147,78,CF,3,4,38,74,85,82,16,46,39,80,29.0,74.0,90.0,34.0,81.0,34.0,175
2148,78,CB,2,3,45,39,56,46,82,78,41,88,64.0,33.0,59.0,54.0,68.0,68.0,197
2149,78,RM,3,3,89,65,71,84,38,63,34,63,57.0,92.0,81.0,71.0,54.0,75.0,165
2150,78,CAM,4,4,68,70,80,81,54,65,35,79,68.0,68.0,84.0,71.0,82.0,40.0,185
2151,78,CB,2,4,74,56,70,69,77,76,36,70,83.0,74.0,75.0,70.0,79.0,79.0,184
2152,78,CDM,3,4,60,68,82,78,67,68,36,76,68.0,75.0,85.0,61.0,86.0,69.0,181
2153,78,CDM,2,3,55,54,68,67,78,88,34,83,88.0,47.0,72.0,75.0,70.0,89.0,188
2154,78,LB,2,3,84,51,66,67,76,77,34,75,75.0,70.0,69.0,71.0,64.0,91.0,178
2155,78,RB,3,2,88,51,69,76,73,77,35,73,76.0,75.0,76.0,75.0,68.0,87.0,180
2156,78,CB,2,4,53,57,58,57,80,81,36,88,75.0,43.0,64.0,53.0,70.0,70.0,189
2157,78,CDM,2,3,68,57,66,71,77,88,35,86,92.0,71.0,72.0,75.0,66.0,90.0,180
2159,78,LB,3,3,77,66,75,80,74,76,35,76,77.0,53.0,81.0,75.0,77.0,79.0,183
2160,78,ST,3,3,73,76,62,72,47,82,33,84,81.0,67.0,77.0,75.0,53.0,63.0,183
2161,78,CM,3,3,55,73,69,73,78,90,34,85,94.0,52.0,82.0,65.0,66.0,86.0,194
2162,78,CB,2,3,76,52,57,65,77,81,33,76,72.0,65.0,71.0,83.0,67.0,81.0,183
2163,78,ST,2,3,67,78,62,68,49,86,32,79,85.0,50.0,74.0,84.0,56.0,75.0,191
2164,78,ST,3,3,73,78,70,76,37,86,34,88,86.0,78.0,76.0,82.0,59.0,77.0,181
2165,78,LM,4,4,85,72,73,84,33,53,32,67,38.0,80.0,82.0,66.0,68.0,64.0,176
2166,78,CDM,3,4,74,73,76,77,75,72,33,72,70.0,69.0,81.0,90.0,77.0,76.0,180
2167,78,ST,3,3,91,76,68,78,29,64,33,74,51.0,70.0,75.0,71.0,60.0,70.0,180
2168,78,ST,3,3,87,76,56,68,42,77,34,79,70.0,68.0,70.0,91.0,31.0,79.0,185
2169,78,CM,3,4,74,71,77,79,54,72,31,74,56.0,54.0,83.0,68.0,77.0,75.0,185
2170,78,LB,2,2,81,72,75,77,74,78,33,74,77.0,79.0,75.0,71.0,73.0,86.0,178
2171,78,ST,3,2,59,79,60,66,25,84,33,88,83.0,50.0,75.0,75.0,61.0,70.0,194
2172,78,CDM,2,3,66,66,67,72,78,89,30,76,90.0,66.0,72.0,81.0,68.0,84.0,188
2173,78,LM,5,4,89,68,68,84,31,79,32,84,76.0,76.0,83.0,60.0,67.0,80.0,185
2174,78,CAM,3,5,75,75,81,78,57,73,31,79,70.0,72.0,79.0,62.0,80.0,76.0,180
2175,78,CM,3,4,75,71,78,83,63,71,31,77,78.0,77.0,84.0,58.0,78.0,74.0,180
2176,78,CM,2,3,69,73,74,76,73,87,34,84,84.0,54.0,79.0,78.0,76.0,87.0,186
2177,78,CAM,4,4,70,78,74,78,47,76,29,91,79.0,60.0,81.0,47.0,72.0,71.0,188
2178,78,RB,2,2,77,47,63,64,78,84,33,81,80.0,50.0,72.0,57.0,64.0,86.0,189
2179,78,CDM,2,2,62,70,78,68,71,86,30,87,84.0,57.0,76.0,67.0,76.0,92.0,187
2180,78,ST,4,4,85,76,73,80,34,78,30,77,75.0,76.0,77.0,85.0,62.0,80.0,177
2181,78,RM,3,4,80,73,70,80,28,72,32,77,85.0,68.0,82.0,77.0,66.0,68.0,180
2182,78,RM,3,4,89,75,72,80,32,62,30,81,46.0,71.0,78.0,48.0,67.0,69.0,181
2183,78,ST,4,3,82,75,70,77,26,80,29,82,78.0,63.0,77.0,78.0,68.0,77.0,184
2184,78,LM,4,5,86,81,70,80,25,61,29,79,53.0,77.0,78.0,65.0,53.0,76.0,184
2185,78,RW,3,3,92,70,70,82,24,59,30,65,48.0,75.0,82.0,72.0,63.0,75.0,178
2186,78,ST,4,3,93,76,65,82,28,56,29,65,33.0,88.0,80.0,82.0,53.0,91.0,176
2187,78,CDM,2,3,61,60,71,62,79,82,27,83,80.0,40.0,68.0,71.0,77.0,81.0,188
2188,78,CB,2,2,66,40,50,57,77,82,34,84,87.0,44.0,65.0,76.0,58.0,60.0,188
2189,78,CB,2,3,75,35,65,71,78,76,27,75,70.0,57.0,79.0,72.0,68.0,76.0,188
2190,78,ST,4,4,89,74,67,82,26,67,27,75,50.0,69.0,82.0,69.0,55.0,75.0,184
2191,78,LB,2,3,86,49,70,77,73,70,30,63,73.0,92.0,75.0,92.0,71.0,92.0,170
2192,78,RM,4,2,88,73,74,78,42,74,29,72,72.0,76.0,77.0,78.0,68.0,73.0,178
2193,78,LB,3,3,86,50,67,76,74,74,27,70,73.0,74.0,77.0,76.0,67.0,79.0,179
2194,78,RB,3,4,86,60,75,81,76,68,28,70,75.0,78.0,77.0,76.0,77.0,72.0,175
2195,78,CM,3,4,73,71,76,76,72,73,27,72,74.0,66.0,79.0,58.0,75.0,73.0,180
2196,78,RM,4,3,92,66,71,83,40,56,27,66,41.0,82.0,82.0,50.0,66.0,71.0,175
2197,78,ST,4,3,85,74,68,76,31,73,26,75,52.0,62.0,76.0,70.0,59.0,72.0,185
2198,78,RM,3,2,80,72,76,80,62,69,26,58,63.0,83.0,80.0,72.0,69.0,75.0,170
2199,78,LW,4,4,91,70,70,83,29,71,26,80,54.0,77.0,85.0,66.0,62.0,75.0,184
2200,78,LB,3,2,86,46,72,78,73,72,28,68,87.0,78.0,77.0,68.0,65.0,77.0,176
2201,78,LM,3,4,89,75,71,81,51,61,34,70,58.0,67.0,77.0,62.0,63.0,78.0,180
2202,78,CB,2,3,72,52,51,63,77,84,27,84,88.0,52.0,64.0,88.0,60.0,76.0,189
2203,78,CM,3,3,73,74,74,73,76,80,27,78,81.0,73.0,76.0,89.0,80.0,80.0,181
2204,78,LM,3,3,92,72,70,79,35,62,26,68,48.0,88.0,76.0,55.0,62.0,72.0,172
2205,78,ST,4,4,77,80,71,74,40,79,32,72,67.0,74.0,76.0,75.0,71.0,81.0,192
2206,78,RM,4,4,92,71,69,84,34,49,26,67,41.0,90.0,81.0,63.0,54.0,68.0,173
2207,78,CM,3,4,82,72,70,79,72,84,24,70,90.0,88.0,77.0,81.0,71.0,93.0,176
2209,78,CDM,3,4,73,71,76,76,72,73,27,72,74.0,66.0,79.0,58.0,75.0,73.0,180
2211,78,LW,4,4,89,74,67,82,26,67,27,75,50.0,69.0,82.0,69.0,55.0,75.0,184
2213,78,ST,5,4,86,76,70,85,26,66,24,67,35.0,84.0,80.0,58.0,66.0,76.0,175
2214,78,CB,2,3,41,54,48,40,78,86,37,88,91.0,42.0,53.0,51.0,66.0,76.0,191
2215,78,ST,3,3,69,80,64,69,35,86,33,90,81.0,71.0,75.0,73.0,52.0,76.0,183
2216,78,RWB,4,4,84,71,71,82,66,73,31,85,44.0,83.0,79.0,69.0,66.0,83.0,177
2217,78,RM,4,4,89,73,69,80,52,82,31,79,74.0,75.0,78.0,82.0,67.0,78.0,180
2219,78,CDM,2,3,71,49,69,74,76,79,27,72,80.0,69.0,78.0,76.0,70.0,74.0,184
2220,78,CM,3,3,80,74,77,80,73,80,26,75,64.0,69.0,78.0,71.0,79.0,80.0,180
2221,78,CB,2,3,61,56,60,56,78,81,32,84,83.0,64.0,58.0,73.0,64.0,68.0,187
2222,78,RB,3,3,90,53,64,77,71,70,28,67,67.0,78.0,74.0,79.0,53.0,88.0,177
2223,78,ST,3,3,82,74,62,77,48,80,26,79,78.0,70.0,78.0,84.0,58.0,85.0,185
2224,78,ST,3,4,83,77,57,69,30,81,28,83,75.0,63.0,66.0,84.0,49.0,81.0,183
2225,78,ST,3,3,70,76,66,71,30,75,37,82,70.0,52.0,74.0,76.0,55.0,64.0,191
2227,78,RM,3,3,92,70,70,82,24,59,30,65,48.0,75.0,82.0,72.0,63.0,75.0,178
2231,78,RM,4,4,85,72,73,84,33,53,32,67,38.0,80.0,82.0,66.0,68.0,64.0,176
2237,78,ST,3,3,73,76,62,72,47,82,33,84,81.0,67.0,77.0,75.0,53.0,63.0,183
2238,77,CB,2,3,67,63,66,64,74,89,38,90,89.0,42.0,67.0,83.0,73.0,86.0,191
2239,77,ST,4,4,80,79,68,85,33,65,34,76,66.0,74.0,87.0,69.0,60.0,69.0,176
2240,77,CB,2,2,81,55,61,58,76,76,35,83,79.0,54.0,63.0,78.0,70.0,68.0,188
2241,77,RM,3,3,90,73,71,76,50,71,34,71,67.0,70.0,76.0,68.0,65.0,75.0,177
2242,77,ST,3,3,84,74,60,75,37,81,34,81,79.0,75.0,77.0,93.0,49.0,84.0,180
2243,77,CB,2,3,75,47,60,65,74,83,33,83,85.0,67.0,66.0,90.0,63.0,69.0,180
2244,77,RM,4,3,90,73,67,81,38,66,34,62,69.0,95.0,78.0,70.0,65.0,84.0,167
2245,77,RW,3,3,88,75,73,76,32,59,33,78,43.0,70.0,78.0,62.0,72.0,62.0,180
2246,77,ST,2,3,76,74,57,73,26,85,32,90,73.0,58.0,75.0,81.0,29.0,79.0,186
2247,77,CB,2,3,67,31,37,38,77,83,34,90,77.0,45.0,43.0,86.0,42.0,68.0,190
2248,77,RM,3,3,88,69,71,78,46,66,34,66,72.0,84.0,77.0,78.0,67.0,77.0,173
2249,77,RM,4,4,89,77,71,78,29,56,32,70,41.0,89.0,74.0,62.0,68.0,71.0,173
2250,77,CDM,2,3,77,65,61,69,77,87,32,78,84.0,60.0,73.0,78.0,64.0,92.0,193
2251,77,LM,3,3,93,70,69,74,32,72,31,73,63.0,64.0,67.0,73.0,72.0,79.0,183
2252,77,LW,4,3,93,71,70,80,33,55,33,67,73.0,90.0,77.0,75.0,66.0,68.0,169
2254,77,CB,2,2,77,38,67,68,76,79,32,77,79.0,64.0,71.0,77.0,78.0,80.0,185
2255,77,RB,3,3,81,62,69,73,74,82,32,76,87.0,52.0,75.0,84.0,68.0,89.0,187
2256,77,CB,2,2,52,47,56,49,78,80,32,86,79.0,34.0,62.0,34.0,54.0,67.0,194
2257,77,ST,3,3,86,74,63,78,35,70,29,73,52.0,82.0,77.0,81.0,61.0,79.0,178
2258,77,ST,4,4,88,78,74,80,41,75,33,73,71.0,83.0,80.0,86.0,72.0,83.0,168
2259,77,CAM,4,4,84,63,72,84,25,55,31,61,50.0,91.0,84.0,40.0,63.0,77.0,165
2260,77,CB,2,3,67,45,61,54,77,85,31,90,82.0,52.0,55.0,82.0,58.0,75.0,188
2261,77,RW,4,3,92,70,67,84,25,54,28,62,74.0,91.0,81.0,68.0,54.0,62.0,169
2262,77,ST,3,3,84,75,73,78,33,64,30,77,70.0,74.0,77.0,65.0,69.0,72.0,182
2263,77,RB,3,4,76,72,73,73,73,84,30,88,73.0,49.0,74.0,72.0,71.0,90.0,190
2264,77,RB,3,4,91,67,72,81,69,73,32,69,80.0,77.0,82.0,82.0,64.0,76.0,178
2265,77,CB,2,3,79,41,49,59,74,83,29,80,81.0,57.0,61.0,90.0,56.0,70.0,183
2266,77,LW,5,5,88,65,70,83,23,47,25,66,32.0,83.0,81.0,44.0,71.0,63.0,173
2267,77,RB,2,3,84,44,66,73,74,72,29,68,75.0,76.0,70.0,82.0,72.0,88.0,176
2268,77,CB,2,3,77,40,62,61,76,78,28,85,86.0,50.0,65.0,72.0,65.0,65.0,190
2269,77,LB,2,3,89,68,68,79,70,74,29,65,83.0,87.0,81.0,85.0,64.0,85.0,171
2270,77,LB,3,2,86,59,71,78,71,68,26,71,65.0,71.0,74.0,64.0,68.0,78.0,176
2271,77,LW,4,3,89,72,70,77,36,57,33,69,43.0,87.0,73.0,55.0,63.0,75.0,174
2272,77,CB,2,3,78,56,52,69,77,79,27,82,74.0,63.0,70.0,83.0,64.0,74.0,182
2273,77,RB,2,3,81,44,65,72,73,74,27,72,68.0,64.0,73.0,68.0,66.0,89.0,180
2274,77,RM,3,3,91,70,70,80,31,51,33,65,39.0,81.0,77.0,72.0,67.0,74.0,173
2275,77,LW,4,4,93,70,70,83,28,58,27,66,56.0,90.0,79.0,78.0,68.0,64.0,173
2276,77,LB,3,2,88,64,70,73,71,73,34,77,85.0,69.0,74.0,73.0,71.0,90.0,181
2277,77,CM,3,3,79,66,76,79,64,78,28,83,78.0,79.0,81.0,55.0,77.0,79.0,183
2278,77,ST,2,3,65,74,62,64,37,86,33,91,77.0,35.0,75.0,75.0,59.0,87.0,191
2279,77,CAM,4,3,88,70,71,78,22,46,32,68,36.0,94.0,73.0,91.0,68.0,78.0,160
2280,77,LW,4,3,93,70,66,81,27,62,29,75,27.0,83.0,78.0,72.0,61.0,84.0,171
2281,77,CM,2,2,58,71,72,66,76,90,35,90,83.0,43.0,75.0,80.0,70.0,91.0,192
2282,77,RM,5,5,84,72,70,82,41,52,24,67,47.0,74.0,81.0,58.0,65.0,72.0,178
2283,77,LM,5,5,88,65,70,83,23,47,25,66,32.0,83.0,81.0,44.0,71.0,63.0,173
2288,77,CF,3,3,87,76,70,77,35,64,25,73,70.0,70.0,75.0,68.0,64.0,70.0,179
2289,77,CB,2,3,50,30,41,56,78,82,37,93,78.0,52.0,62.0,75.0,44.0,72.0,185
2290,77,CDM,3,3,63,67,73,70,73,78,29,71,71.0,62.0,76.0,71.0,74.0,93.0,180
2291,77,ST,3,3,90,74,67,80,31,66,24,70,55.0,76.0,77.0,73.0,56.0,80.0,180
2292,77,CM,2,3,77,64,75,75,70,72,25,77,62.0,67.0,81.0,67.0,82.0,72.0,186
2293,77,LB,2,3,90,63,70,79,72,73,28,70,77.0,68.0,80.0,58.0,68.0,81.0,181
2295,77,LB,3,2,76,65,73,76,76,67,33,70,76.0,73.0,75.0,71.0,69.0,71.0,179
2296,77,CAM,4,3,77,64,76,80,28,44,25,65,35.0,89.0,79.0,51.0,72.0,54.0,170
2297,77,RB,2,4,83,50,69,70,75,73,30,72,67.0,74.0,72.0,75.0,71.0,85.0,174
2298,77,ST,3,4,78,80,64,78,27,66,26,71,62.0,82.0,79.0,72.0,51.0,65.0,175
2299,77,CB,2,3,58,45,64,58,77,78,39,82,81.0,60.0,72.0,72.0,55.0,72.0,184
2300,77,ST,3,4,90,73,65,78,26,65,25,75,62.0,77.0,77.0,80.0,55.0,70.0,180
2301,77,LB,2,2,80,49,60,63,78,87,28,85,93.0,55.0,68.0,77.0,49.0,80.0,183
2302,77,CB,2,3,62,34,52,57,76,78,29,82,79.0,58.0,62.0,84.0,53.0,65.0,186
2303,77,CB,2,3,73,38,58,64,78,72,24,74,65.0,77.0,69.0,78.0,71.0,68.0,183
2304,77,RB,2,4,87,63,71,73,72,79,26,80,83.0,66.0,71.0,74.0,74.0,89.0,184
2305,77,CM,3,4,69,71,78,72,69,80,32,91,75.0,52.0,75.0,76.0,76.0,77.0,183
2306,77,CM,3,3,67,69,78,76,66,72,28,72,83.0,80.0,81.0,52.0,78.0,79.0,179
2307,77,ST,3,3,66,78,60,71,38,64,31,76,47.0,60.0,71.0,74.0,64.0,71.0,180
2308,77,LW,4,2,78,72,72,83,54,65,28,76,46.0,76.0,79.0,56.0,75.0,79.0,180
2309,77,CAM,4,3,78,72,74,81,67,74,37,75,72.0,90.0,79.0,71.0,73.0,79.0,168
2320,77,CAM,3,4,69,71,78,72,69,80,32,91,75.0,52.0,75.0,76.0,76.0,77.0,183
2327,76,CB,2,3,55,50,54,59,78,70,38,79,73.0,55.0,65.0,69.0,65.0,55.0,181
2328,76,ST,2,2,51,79,53,63,35,78,38,93,71.0,41.0,72.0,31.0,37.0,63.0,196
2329,76,ST,3,3,84,74,62,74,34,79,37,79,80.0,62.0,75.0,81.0,46.0,74.0,178
2330,76,CDM,3,3,73,71,69,70,73,82,35,68,86.0,74.0,70.0,73.0,72.0,87.0,180
2331,76,CB,2,2,76,36,58,62,76,79,35,78,78.0,51.0,63.0,71.0,57.0,66.0,188
2333,76,LM,3,4,85,72,70,77,25,75,31,83,55.0,53.0,78.0,64.0,64.0,76.0,190
2334,76,CB,2,3,51,67,71,66,77,73,38,80,68.0,48.0,71.0,68.0,67.0,65.0,184
2335,76,RB,2,3,86,64,69,69,72,75,35,67,75.0,67.0,71.0,82.0,70.0,90.0,180
2336,76,LW,4,3,90,69,67,83,31,67,34,77,66.0,81.0,79.0,68.0,61.0,74.0,179
2337,76,CDM,2,3,67,58,69,70,72,85,35,82,82.0,53.0,74.0,75.0,75.0,84.0,182
2338,76,ST,3,3,69,78,60,68,31,84,33,90,80.0,70.0,74.0,72.0,49.0,75.0,183
2339,76,RW,3,3,95,65,68,80,28,66,33,73,55.0,80.0,78.0,64.0,54.0,76.0,177
2340,76,ST,3,3,87,73,57,75,29,73,31,73,59.0,68.0,75.0,74.0,47.0,71.0,185
2341,76,CB,2,3,75,32,54,59,74,81,31,79,82.0,64.0,62.0,87.0,64.0,74.0,183
2342,76,RM,4,4,89,73,70,76,39,66,30,76,46.0,75.0,74.0,76.0,63.0,72.0,177
2343,76,ST,3,3,55,76,51,65,29,80,34,102,78.0,37.0,73.0,42.0,49.0,66.0,192
2344,76,CB,2,3,78,52,49,62,76,81,30,84,77.0,64.0,64.0,81.0,57.0,82.0,187
2345,76,RM,4,4,87,73,67,79,52,80,31,79,73.0,75.0,78.0,80.0,66.0,77.0,180
2346,76,LM,4,4,92,64,70,79,34,51,31,62,59.0,92.0,74.0,76.0,64.0,75.0,168
2347,76,RW,4,3,93,64,67,77,24,58,31,75,28.0,77.0,76.0,34.0,42.0,74.0,175
2348,76,RW,3,4,91,72,66,76,31,66,33,76,69.0,70.0,73.0,89.0,52.0,72.0,183
2349,76,LB,3,3,84,65,68,75,72,77,31,82,70.0,53.0,76.0,66.0,59.0,83.0,186
